numberDay,weekDay,year,attendance,annualTot,tempHigh,tempLow,precip,ticketPrice,recordDailyAttendAllTime2024
1,Thursday,2024,138875,1925904,73,60,yes,$18 ,138875
2,Friday,2024,171233,1925904,81,64,no,$18 ,171233
3,Saturday,2024,184564,1925904,85,65,no,$18 ,222194
4,Sunday,2024,134644,1925904,87,73,no,$18 ,209969
5,Monday,2024,80546,1925904,92,70,yes,$18 ,144504
6,Tuesday,2024,124777,1925904,79,67,yes,$18 ,136987
7,Wednesday,2024,145531,1925904,76,64,no,$18 ,145531
8,Thursday,2024,81231,1925904,89,66,yes,$18 ,156764
9,Friday,2024,225521,1925904,79,61,no,$18 ,225521
10,Saturday,2024,207078,1925904,85,61,no,$18 ,270426
11,Sunday,2024,256015,1925904,74,59,no,$18 ,256015
12,Monday,2024,175889,1925904,75,56,no,$18 ,184740
1,Thursday,2023,106327,1835826,88,70,no,$18 ,138875
2,Friday,2023,164741,1835826,91,70,no,$18 ,171233
3,Saturday,2023,212850,1835826,75,62,no,$18 ,222194
4,Sunday,2023,173724,1835826,79,57,yes,$18 ,209969
5,Monday,2023,134146,1835826,88,64,no,$18 ,144504
6,Tuesday,2023,134952,1835826,85,64,no,$18 ,136987
7,Wednesday,2023,128068,1835826,80,61,no,$18 ,145531
8,Thursday,2023,129501,1835826,83,60,no,$18 ,156764
9,Friday,2023,190290,1835826,90,61,no,$18 ,225521
10,Saturday,2023,200170,1835826,91,72,no,$18 ,270426
11,Sunday,2023,141326,1835826,97,75,no,$18 ,256015
12,Monday,2023,119731,1835826,98,74,no,$18 ,184740
1,Thursday,2022,121478,1842222,79,65,no,$17 ,138875
2,Friday,2022,153367,1842222,80,61,no,$17 ,171233
3,Saturday,2022,157878,1842222,80,66,yes,$17 ,222194
4,Sunday,2022,161252,1842222,80,68,yes,$17 ,209969
5,Monday,2022,120288,1842222,80,66,no,$17 ,144504
6,Tuesday,2022,112922,1842222,79,60,no,$17 ,136987
7,Wednesday,2022,111861,1842222,89,63,no,$17 ,145531
8,Thursday,2022,117077,1842222,88,68,no,$17 ,156764
9,Friday,2022,157422,1842222,88,68,no,$17 ,225521
10,Saturday,2022,249490,1842222,76,59,no,$17 ,270426
11,Sunday,2022,222202,1842222,76,52,no,$17 ,256015
12,Monday,2022,156985,1842222,75,58,no,$17 ,184740
1,Thursday,2021,61983,1301584,77,63,yes,$16 ,138875
2,Friday,2021,77406,1301584,76,68,yes,$16 ,171233
3,Saturday,2021,129984,1301584,83,67,yes,$16 ,222194
4,Sunday,2021,149247,1301584,81,66,yes,$16 ,209969
5,Monday,2021,91568,1301584,83,62,no,$16 ,144504
6,Tuesday,2021,89618,1301584,79,63,no,$16 ,136987
7,Wednesday,2021,88027,1301584,77,56,no,$16 ,145531
8,Thursday,2021,80778,1301584,77,59,no,$16 ,156764
9,Friday,2021,102020,1301584,67,58,yes,$16 ,225521
10,Saturday,2021,153953,1301584,62,58,no,$16 ,270426
11,Sunday,2021,153422,1301584,76,55,no,$16 ,256015
12,Monday,2021,123578,1301584,75,51,no,$16 ,184740
1,Thursday,2020,0,0,88,72,no,$0 ,138875
2,Friday,2020,0,0,82,65,yes,$0 ,171233
3,Saturday,2020,0,0,77,59,no,$0 ,222194
4,Sunday,2020,0,0,78,59,no,$0 ,209969
5,Monday,2020,0,0,74,59,yes,$0 ,144504
6,Tuesday,2020,0,0,71,58,no,$0 ,136987
7,Wednesday,2020,0,0,82,57,no,$0 ,145531
8,Thursday,2020,0,0,76,55,no,$0 ,156764
9,Friday,2020,0,0,74,52,no,$0 ,225521
10,Saturday,2020,0,0,78,54,no,$0 ,270426
11,Sunday,2020,0,0,83,61,yes,$0 ,256015
12,Monday,2020,0,0,64,50,yes,$0 ,184740
1,Thursday,2019,133326,2126551,75,60,no,$15 ,138875
2,Friday,2019,157224,2126551,77,58,no,$15 ,171233
3,Saturday,2019,209105,2126551,76,62,no,$15 ,222194
4,Sunday,2019,191524,2126551,75,61,no,$15 ,209969
5,Monday,2019,96716,2126551,71,64,yes,$15 ,144504
6,Tuesday,2019,136987,2126551,73,59,no,$15 ,136987
7,Wednesday,2019,142211,2126551,73,57,no,$15 ,145531
